127.0.0.1 - - [06/May/2019:21:35:03 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:06 +0800] "GET /Music/index.jsp HTTP/1.1" 200 10128
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:06 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:06 +0800] "GET /Music/picture/user.png HTTP/1.1" 200 14742
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:06 +0800] "GET /Music/picture/icon.png HTTP/1.1" 200 35012
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:06 +0800] "GET /Music/picture/admin.png HTTP/1.1" 200 16051
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:06 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:06 +0800] "GET /Music/picture/search.png HTTP/1.1" 200 15030
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:19 +0800] "GET /Music/index.jsp HTTP/1.1" 200 10128
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:20 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:20 +0800] "GET /Music/picture/icon.png HTTP/1.1" 200 35012
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:20 +0800] "GET /Music/picture/user.png HTTP/1.1" 200 14742
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:20 +0800] "GET /Music/picture/admin.png HTTP/1.1" 200 16051
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:20 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:20 +0800] "GET /Music/picture/search.png HTTP/1.1" 200 15030
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:20 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:23 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:28 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:51 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:53 +0800] "GET /Music/mymusic.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:35:55 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:00 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:01 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:02 +0800] "GET /Music/mymusic.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:03 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:04 +0800] "GET /Music/mymusic.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:04 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:06 +0800] "GET /Music/mymusic.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:08 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:08 +0800] "GET /Music/mymusic.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:15 +0800] "POST /Music/servlet/Login HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:21 +0800] "POST /Music/servlet/Login HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:21 +0800] "GET /Music/servlet/js/jquery-1.8.3.min.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:21 +0800] "GET /Music/picture/my.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:21 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:21 +0800] "GET /Music/picture/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:21 +0800] "GET /Music/picture/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:21:36:22 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
